repo_owner,repo_name,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua,dependencies_json,dep_count,dep_error,cat_api management,cat_chat,cat_code quality,cat_code review,cat_container ci,cat_continuous integration,cat_dependency management,cat_deployment,cat_game ci,cat_localization,cat_mobile,cat_mobile ci,cat_monitoring,cat_project management,cat_publishing,cat_security,cat_support,cat_testing,cat_utilities
10up,action-repo-automator,50,2.0,3,7,4,43,18,5,3775,30,3,30,0,3775000,0,"GitHub Action to automate common repo operations like validate PR description, changelog, and credits.",JavaScript,MIT License,True,True,19.0,343,128.0,4.0,43.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""10up/action-repo-automator"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.11.0"", ""type"": ""production""}, {""name"": ""@actions/github"", ""version"": ""^6.0.0"", ""type"": ""production""}, {""name"": ""@octokit/action"", ""version"": ""^7.0.0"", ""type"": ""production""}, {""name"": ""@vercel/ncc"", ""version"": ""^0.38.2"", ""type"": ""development""}, {""name"": ""eslint"", ""version"": ""^8.54.0"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 5, ""error"": null}}",5,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1password,load-secrets-action,21,5.0,6,11,29,14,208,10,452,30,19,30,3,452000,1,Load secrets from 1Password into your GitHub Actions jobs,TypeScript,MIT License,False,True,212.0,145,95.0,30.0,14.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""1password/load-secrets-action"", ""dependencies"": [{""name"": ""@1password/op-js"", ""version"": ""^0.1.11"", ""type"": ""production""}, {""name"": ""@actions/core"", ""version"": ""^1.10.1"", ""type"": ""production""}, {""name"": ""@actions/exec"", ""version"": ""^1.1.1"", ""type"": ""production""}, {""name"": ""@1password/eslint-config"", ""version"": ""^4.3.1"", ""type"": ""development""}, {""name"": ""@1password/prettier-config"", ""version"": ""^1.2.0"", ""type"": ""development""}, {""name"": ""@types/jest"", ""version"": ""^29.5.12"", ""type"": ""development""}, {""name"": ""@types/node"", ""version"": ""^20.11.30"", ""type"": ""development""}, {""name"": ""@vercel/ncc"", ""version"": ""^0.38.1"", ""type"": ""development""}, {""name"": ""husky"", ""version"": ""^9.0.11"", ""type"": ""development""}, {""name"": ""jest"", ""version"": ""^29.7.0"", ""type"": ""development""}, {""name"": ""lint-staged"", ""version"": ""^15.2.2"", ""type"": ""development""}, {""name"": ""ts-jest"", ""version"": ""^29.1.2"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^5.4.2"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 13, ""error"": null}}",13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42crunch,api-security-audit-action,94,1.0,3,3,14,4,33,4,3253,24,0,19,0,3253000,0,,TypeScript,Apache License 2.0,False,False,34.0,123,24.0,14.0,4.0,"['TypeScript', 'Dockerfile']",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""42crunch/api-security-audit-action"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.10.0"", ""type"": ""production""}, {""name"": ""@octokit/core"", ""version"": ""^4.1.0"", ""type"": ""production""}, {""name"": ""@types/turndown"", ""version"": ""^5.0.1"", ""type"": ""production""}, {""name"": ""@xliic/cicd-core-node"", ""version"": ""6.0.0"", ""type"": ""production""}, {""name"": ""got"", ""version"": ""^14.4.1"", ""type"": ""production""}, {""name"": ""turndown"", ""version"": ""^7.1.2"", ""type"": ""production""}, {""name"": ""@types/node"", ""version"": ""^20.14.11"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^5.5.0"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 8, ""error"": null}}",8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8398a7,action-slack,59,2.0,6,30,134,5,595,25,6527,30,31,30,1,6527000,0,Provides the function of slack notification to GitHub Actions.,TypeScript,MIT License,False,True,597.0,535,253.0,134.0,5.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""8398a7/action-slack"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.9.1"", ""type"": ""production""}, {""name"": ""@actions/github"", ""version"": ""^5.0.3"", ""type"": ""production""}, {""name"": ""@slack/webhook"", ""version"": ""^7.0.2"", ""type"": ""production""}, {""name"": ""https-proxy-agent"", ""version"": ""^5.0.1"", ""type"": ""production""}, {""name"": ""semver"", ""version"": ""^7.5.2"", ""type"": ""production""}, {""name"": ""@types/jest"", ""version"": ""^28.1.7"", ""type"": ""development""}, {""name"": ""@types/node"", ""version"": ""^18.7.8"", ""type"": ""development""}, {""name"": ""@types/semver"", ""version"": ""^7.3.12"", ""type"": ""development""}, {""name"": ""@typescript-eslint/parser"", ""version"": ""^5.33.1"", ""type"": ""development""}, {""name"": ""@vercel/ncc"", ""version"": ""^0.34.0"", ""type"": ""development""}, {""name"": ""eslint"", ""version"": ""^8.22.0"", ""type"": ""development""}, {""name"": ""eslint-plugin-github"", ""version"": ""^4.3.7"", ""type"": ""development""}, {""name"": ""eslint-plugin-jest"", ""version"": ""^26.8.5"", ""type"": ""development""}, {""name"": ""jest"", ""version"": ""^28.1.3"", ""type"": ""development""}, {""name"": ""jest-circus"", ""version"": ""^28.1.3"", ""type"": ""development""}, {""name"": ""js-yaml"", ""version"": ""^4.1.0"", ""type"": ""development""}, {""name"": ""nock"", ""version"": ""^13.2.9"", ""type"": ""development""}, {""name"": ""prettier"", ""version"": ""^2.7.1"", ""type"": ""development""}, {""name"": ""ts-jest"", ""version"": ""^28.0.8"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^4.7.4"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 20, ""error"": null}}",20,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexsim93,pull-request-analytics-action,79,5.0,5,30,11,3,118,4,1324,30,1,30,0,1324000,1,"Provides informative reports on team and developer metrics, based on data from pull requests and code reviews",TypeScript,MIT License,True,False,119.0,189,55.0,14.0,3.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""alexsim93/pull-request-analytics-action"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.10.1"", ""type"": ""production""}, {""name"": ""@octokit/plugin-throttling"", ""version"": ""^8.1.3"", ""type"": ""production""}, {""name"": ""date-fns"", ""version"": ""^2.30.0"", ""type"": ""production""}, {""name"": ""dotenv"", ""version"": ""^16.3.1"", ""type"": ""production""}, {""name"": ""lodash"", ""version"": ""^4.17.21"", ""type"": ""production""}, {""name"": ""mixpanel"", ""version"": ""^0.18.0"", ""type"": ""production""}, {""name"": ""octokit"", ""version"": ""^3.1.2"", ""type"": ""production""}, {""name"": ""@tsconfig/node20"", ""version"": ""^20.1.2"", ""type"": ""development""}, {""name"": ""@types/jest"", ""version"": ""^29.5.10"", ""type"": ""development""}, {""name"": ""@types/lodash"", ""version"": ""^4.17.7"", ""type"": ""development""}, {""name"": ""@typescript-eslint/eslint-plugin"", ""version"": ""^6.12.0"", ""type"": ""development""}, {""name"": ""@typescript-eslint/parser"", ""version"": ""^6.12.0"", ""type"": ""development""}, {""name"": ""@vercel/ncc"", ""version"": ""^0.38.1"", ""type"": ""development""}, {""name"": ""eslint"", ""version"": ""^8.54.0"", ""type"": ""development""}, {""name"": ""husky"", ""version"": ""^8.0.3"", ""type"": ""development""}, {""name"": ""jest"", ""version"": ""^29.7.0"", ""type"": ""development""}, {""name"": ""ts-jest"", ""version"": ""^29.1.1"", ""type"": ""development""}, {""name"": ""ts-node"", ""version"": ""^10.9.1"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^5.3.2"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 19, ""error"": null}}",19,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anmol-baranwal,devtogithub,2,1.0,2,3,0,2,16,2,731,3,0,2,0,731000,0,Save your DEV.to articles and reading list on GitHub with a bunch of useful options.,TypeScript,MIT License,False,True,16.0,134,3.0,0.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""anmol-baranwal/devtogithub"", ""dependencies"": [{""name"": ""@actions/exec"", ""version"": ""^1.1.1"", ""type"": ""production""}, {""name"": ""@vercel/ncc"", ""version"": ""^0.38.1"", ""type"": ""production""}, {""name"": ""@actions/core"", ""version"": ""^1.10.1"", ""type"": ""development""}, {""name"": ""@actions/github"", ""version"": ""^6.0.0"", ""type"": ""development""}, {""name"": ""@types/node"", ""version"": ""^20.11.5"", ""type"": ""development""}, {""name"": ""node-fetch"", ""version"": ""^3.3.2"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^5.3.3"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 7, ""error"": null}}",7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
apple-actions,download-provisioning-profiles,48,9.0,3,3,38,12,75,3,1144,17,8,9,2,1144000,2,Github Action for downloading provisioning profiles from Apple AppStore Connect,TypeScript,MIT License,False,True,76.0,18,17.0,38.0,12.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""apple-actions/download-provisioning-profiles"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.2.0"", ""type"": ""production""}, {""name"": ""@actions/exec"", ""version"": ""^1.0.3"", ""type"": ""production""}, {""name"": ""@types/jsonwebtoken"", ""version"": ""^8.3.7"", ""type"": ""production""}, {""name"": ""@types/luxon"", ""version"": ""^1.21.0"", ""type"": ""production""}, {""name"": ""appstoreconnect"", ""version"": ""github:orj/appstoreconnect#release/v0.3.0"", ""type"": ""production""}, {""name"": ""jsonwebtoken"", ""version"": ""^8.5.1"", ""type"": ""production""}, {""name"": ""luxon"", ""version"": ""^1.22.0"", ""type"": ""production""}, {""name"": ""@types/jest"", ""version"": ""^24.0.23"", ""type"": ""development""}, {""name"": ""@types/node"", ""version"": ""^12.7.12"", ""type"": ""development""}, {""name"": ""@typescript-eslint/parser"", ""version"": ""^2.8.0"", ""type"": ""development""}, {""name"": ""@zeit/ncc"", ""version"": ""^0.20.5"", ""type"": ""development""}, {""name"": ""eslint"", ""version"": ""^5.16.0"", ""type"": ""development""}, {""name"": ""eslint-plugin-github"", ""version"": ""^2.0.0"", ""type"": ""development""}, {""name"": ""eslint-plugin-jest"", ""version"": ""^22.21.0"", ""type"": ""development""}, {""name"": ""jest"", ""version"": ""^24.9.0"", ""type"": ""development""}, {""name"": ""jest-circus"", ""version"": ""^24.9.0"", ""type"": ""development""}, {""name"": ""js-yaml"", ""version"": ""^3.13.1"", ""type"": ""development""}, {""name"": ""prettier"", ""version"": ""^1.19.1"", ""type"": ""development""}, {""name"": ""ts-jest"", ""version"": ""^24.2.0"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^3.6.4"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 20, ""error"": null}}",20,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
artiomtr,jest-coverage-report-action,348,21.0,16,30,145,4,508,30,15362,30,42,30,4,15362000,2,Track your code coverage in every pull request.,TypeScript,MIT License,True,True,514.0,296,393.0,145.0,4.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""artiomtr/jest-coverage-report-action"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.10.0"", ""type"": ""production""}, {""name"": ""@actions/exec"", ""version"": ""^1.1.1"", ""type"": ""production""}, {""name"": ""@actions/github"", ""version"": ""^5.0.3"", ""type"": ""production""}, {""name"": ""@actions/http-client"", ""version"": ""^2.0.1"", ""type"": ""production""}, {""name"": ""@octokit/request-error"", ""version"": ""^2.1.0"", ""type"": ""production""}, {""name"": ""fs-extra"", ""version"": ""^10.0.0"", ""type"": ""production""}, {""name"": ""markdown-table"", ""version"": ""^2.0.0"", ""type"": ""production""}, {""name"": ""micromatch"", ""version"": ""^4.0.4"", ""type"": ""production""}, {""name"": ""parse-diff"", ""version"": ""^0.9.0"", ""type"": ""production""}, {""name"": ""semver"", ""version"": ""^7.3.5"", ""type"": ""production""}, {""name"": ""strip-ansi"", ""version"": ""^6.0.0"", ""type"": ""production""}, {""name"": ""yup"", ""version"": ""^0.32.9"", ""type"": ""production""}, {""name"": ""@types/babel__traverse"", ""version"": ""^7.14.2"", ""type"": ""development""}, {""name"": ""@types/fs-extra"", ""version"": ""^9.0.11"", ""type"": ""development""}, {""name"": ""@types/istanbul-lib-coverage"", ""version"": ""^2.0.4"", ""type"": ""development""}, {""name"": ""@types/jest"", ""version"": ""^27.0.2"", ""type"": ""development""}, {""name"": ""@types/markdown-table"", ""version"": ""^2.0.0"", ""type"": ""development""}, {""name"": ""@types/micromatch"", ""version"": ""^4.0.2"", ""type"": ""development""}, {""name"": ""@types/node"", ""version"": ""^14.14.20"", ""type"": ""development""}, {""name"": ""@types/semver"", ""version"": ""^7.3.9"", ""type"": ""development""}, {""name"": ""@typescript-eslint/eslint-plugin"", ""version"": ""^4.12.0"", ""type"": ""development""}, {""name"": ""@typescript-eslint/parser"", ""version"": ""^4.12.0"", ""type"": ""development""}, {""name"": ""c12"", ""version"": ""^0.2.13"", ""type"": ""development""}, {""name"": ""esbuild"", ""version"": ""^0.12.24"", ""type"": ""development""}, {""name"": ""eslint"", ""version"": ""^7.17.0"", ""type"": ""development""}, {""name"": ""eslint-config-prettier"", ""version"": ""^7.1.0"", ""type"": ""development""}, {""name"": ""eslint-plugin-prettier"", ""version"": ""^3.3.1"", ""type"": ""development""}, {""name"": ""eslint-plugin-simple-import-sort"", ""version"": ""^7.0.0"", ""type"": ""development""}, {""name"": ""jest"", ""version"": ""^27.2.1"", ""type"": ""development""}, {""name"": ""prettier"", ""version"": ""^2.2.1"", ""type"": ""development""}, {""name"": ""ts-jest"", ""version"": ""^27.0.5"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^4.1.3"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 32, ""error"": null}}",32,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
azure,cli,26,1.0,30,14,54,20,134,21,3931,30,11,30,1,3931000,0,Automate your GitHub workflows using Azure CLI scripts,TypeScript,MIT License,True,True,137.0,99,174.0,54.0,20.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""azure/cli"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.10.0"", ""type"": ""production""}, {""name"": ""@actions/exec"", ""version"": ""^1.0.1"", ""type"": ""production""}, {""name"": ""@actions/io"", ""version"": ""^1.0.1"", ""type"": ""production""}, {""name"": ""@types/node"", ""version"": ""^20.11.1"", ""type"": ""production""}, {""name"": ""@vercel/ncc"", ""version"": ""^0.38.1"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""^5.3.3"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 6, ""error"": null}}",6,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
azure,k8s-deploy,214,6.0,30,27,105,21,263,30,31595,30,28,30,4,31595000,1,GitHub Action for deploying to Kubernetes clusters,TypeScript,MIT License,True,True,266.0,162,376.0,108.0,21.0,"['TypeScript', 'Python', 'Mustache', 'JavaScript']",1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""repository"": ""azure/k8s-deploy"", ""dependencies"": [{""name"": ""@actions/core"", ""version"": ""^1.11.1"", ""type"": ""production""}, {""name"": ""@actions/exec"", ""version"": ""^1.0.0"", ""type"": ""production""}, {""name"": ""@actions/io"", ""version"": ""^1.1.3"", ""type"": ""production""}, {""name"": ""@actions/tool-cache"", ""version"": ""2.0.2"", ""type"": ""production""}, {""name"": ""@babel/preset-env"", ""version"": ""^7.26.7"", ""type"": ""production""}, {""name"": ""@babel/preset-typescript"", ""version"": ""^7.26.0"", ""type"": ""production""}, {""name"": ""@octokit/core"", ""version"": ""^6.1.3"", ""type"": ""production""}, {""name"": ""@octokit/plugin-retry"", ""version"": ""^7.1.3"", ""type"": ""production""}, {""name"": ""@types/minipass"", ""version"": ""^3.3.5"", ""type"": ""production""}, {""name"": ""js-yaml"", ""version"": ""4.1.0"", ""type"": ""production""}, {""name"": ""minimist"", ""version"": ""^1.2.8"", ""type"": ""production""}, {""name"": ""@types/jest"", ""version"": ""^29.5.14"", ""type"": ""development""}, {""name"": ""@types/js-yaml"", ""version"": ""^4.0.9"", ""type"": ""development""}, {""name"": ""@types/minimist"", ""version"": ""^1.2.5"", ""type"": ""development""}, {""name"": ""@types/node"", ""version"": ""^22.10.10"", ""type"": ""development""}, {""name"": ""@vercel/ncc"", ""version"": ""^0.38.3"", ""type"": ""development""}, {""name"": ""jest"", ""version"": ""^29.7.0"", ""type"": ""development""}, {""name"": ""prettier"", ""version"": ""^3.4.2"", ""type"": ""development""}, {""name"": ""ts-jest"", ""version"": ""^29.2.5"", ""type"": ""development""}, {""name"": ""typescript"", ""version"": ""5.7.3"", ""type"": ""development""}], ""metadata"": {""sources_checked"": [""package.json""], ""total_dependencies"": 20, ""error"": null}}",20,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
